date,option_type,entry_time,entry_price,entry_strike,entry_spot,exit_time,exit_price,exit_strike,exit_spot,exit_reason,pnl
03/02/26,CALL,2026-02-03 09:15:00+05:30,469,84000,83967.6,2026-02-03 09:16:00+05:30,509.6,84000,83942.62,Stop Loss,-40.6
03/02/26,PUT,2026-02-03 09:15:00+05:30,1058.15,84000,83967.6,2026-02-03 15:29:00+05:30,542.85,84000,83703.39,EOD,515.3
03/02/26,CALL,2026-02-03 09:22:00+05:30,766.8,84000,84166.78,2026-02-03 09:23:00+05:30,790,84000,84152.59,Stop Loss,-23.2
03/02/26,CALL,2026-02-03 09:24:00+05:30,736.85,84000,84035.52,2026-02-03 15:29:00+05:30,341.25,84000,83703.39,EOD,395.6
