date,option_type,entry_time,entry_price,entry_strike,exit_time,exit_price,exit_strike,exit_reason,pnl
2026-02-03,CALL,2026-02-03 09:15:00+05:30,1400.0,84000.0,2026-02-03 09:24:00+05:30,1464.3,84000.0,Stop Loss,-64.29999999999995
2026-02-03,CALL,2026-02-03 09:31:00+05:30,1446.6,84000.0,2026-02-03 10:29:00+05:30,1448.65,84000.0,Stop Loss,-2.050000000000182
2026-02-03,PUT,2026-02-03 09:35:00+05:30,1206.4,84000.0,2026-02-03 09:37:00+05:30,1306.2,84000.0,Stop Loss,-99.79999999999995
2026-02-03,PUT,2026-02-03 09:40:00+05:30,1189.8,84000.0,2026-02-03 09:46:00+05:30,1200.45,84000.0,Stop Loss,-10.650000000000091
2026-02-03,PUT,2026-02-03 09:50:00+05:30,1100.0,84000.0,2026-02-03 09:53:00+05:30,1133.35,84000.0,Stop Loss,-33.34999999999991
2026-02-03,PUT,2026-02-03 09:54:00+05:30,1150.0,84000.0,2026-02-03 09:56:00+05:30,1152.95,84000.0,Stop Loss,-2.9500000000000455
2026-02-03,PUT,2026-02-03 09:57:00+05:30,1152.95,84000.0,2026-02-03 09:58:00+05:30,1165.0,84000.0,Stop Loss,-12.049999999999955
2026-02-03,PUT,2026-02-03 10:01:00+05:30,1204.1,84000.0,2026-02-03 10:05:00+05:30,1204.45,84000.0,Stop Loss,-0.3500000000001364
2026-02-03,PUT,2026-02-03 10:07:00+05:30,1238.0,84000.0,2026-02-03 10:10:00+05:30,1244.9,84000.0,Stop Loss,-6.900000000000091
2026-02-03,PUT,2026-02-03 10:12:00+05:30,1259.25,84000.0,2026-02-03 15:29:00+05:30,900.15,84000.0,EOD,359.1
2026-02-03,CALL,2026-02-03 10:30:00+05:30,1382.75,84000.0,2026-02-03 10:31:00+05:30,1411.8,84000.0,Stop Loss,-29.049999999999955
2026-02-03,CALL,2026-02-03 10:33:00+05:30,1408.7,84000.0,2026-02-03 10:34:00+05:30,1425.8,84000.0,Stop Loss,-17.09999999999991
2026-02-03,CALL,2026-02-03 10:36:00+05:30,1425.6,84000.0,2026-02-03 11:36:00+05:30,1429.2,84000.0,Stop Loss,-3.6000000000001364
2026-02-03,CALL,2026-02-03 11:38:00+05:30,1350.0,84000.0,2026-02-03 11:42:00+05:30,1399.0,84000.0,Stop Loss,-49.0
2026-02-03,CALL,2026-02-03 11:43:00+05:30,1399.0,84000.0,2026-02-03 11:45:00+05:30,1399.95,84000.0,Stop Loss,-0.9500000000000455
2026-02-03,CALL,2026-02-03 11:46:00+05:30,1399.95,84000.0,2026-02-03 15:29:00+05:30,1097.95,84000.0,EOD,302.0
