date,option_type,entry_time,entry_price,entry_strike,entry_spot,exit_time,exit_price,exit_strike,exit_spot,exit_reason,pnl
2026-02-03,CALL,2026-02-03 09:15:00+05:30,469.0,84000.0,83967.6,2026-02-03 09:16:00+05:30,509.6,84000.0,83942.62,Stop Loss,-40.60000000000002
2026-02-03,PUT,2026-02-03 09:15:00+05:30,1058.15,84000.0,83967.6,2026-02-03 15:29:00+05:30,542.85,84000.0,83703.39,EOD,515.3000000000001
2026-02-03,CALL,2026-02-03 09:46:00+05:30,458.0,84000.0,83650.12,2026-02-03 09:47:00+05:30,489.75,84000.0,83716.56,Stop Loss,-31.75
2026-02-03,CALL,2026-02-03 10:08:00+05:30,416.65,84000.0,83580.93,2026-02-03 10:09:00+05:30,440.05,84000.0,83636.66,Stop Loss,-23.400000000000034
2026-02-03,CALL,2026-02-03 10:13:00+05:30,419.6,84000.0,83582.6,2026-02-03 10:14:00+05:30,432.0,84000.0,83575.78,Stop Loss,-12.399999999999977
2026-02-03,CALL,2026-02-03 10:53:00+05:30,457.0,84000.0,83861.08,2026-02-03 10:54:00+05:30,482.6,84000.0,83925.02,Stop Loss,-25.600000000000023
2026-02-03,CALL,2026-02-03 12:30:00+05:30,456.4,84000.0,83938.59,2026-02-03 12:31:00+05:30,471.5,84000.0,83956.68,Stop Loss,-15.100000000000023
2026-02-03,CALL,2026-02-03 12:37:00+05:30,438.55,84000.0,83950.17,2026-02-03 12:38:00+05:30,441.05,84000.0,83932.67,Stop Loss,-2.5
2026-02-03,CALL,2026-02-03 12:39:00+05:30,463.55,84000.0,83949.2,2026-02-03 12:40:00+05:30,470.75,84000.0,83987.28,Stop Loss,-7.199999999999989
2026-02-03,CALL,2026-02-03 12:44:00+05:30,460.7,84000.0,83978.8,2026-02-03 12:45:00+05:30,465.55,84000.0,83972.27,Stop Loss,-4.850000000000023
2026-02-03,CALL,2026-02-03 12:49:00+05:30,439.85,84000.0,83931.17,2026-02-03 12:52:00+05:30,446.0,84000.0,83948.43,Stop Loss,-6.149999999999977
2026-02-03,CALL,2026-02-03 12:53:00+05:30,456.3,84000.0,83963.66,2026-02-03 12:55:00+05:30,458.6,84000.0,83962.36,Stop Loss,-2.3000000000000114
2026-02-03,CALL,2026-02-03 12:58:00+05:30,451.35,84000.0,83964.56,2026-02-03 12:59:00+05:30,453.9,84000.0,83971.12,Stop Loss,-2.5499999999999545
2026-02-03,CALL,2026-02-03 13:00:00+05:30,456.15,84000.0,83981.92,2026-02-03 13:01:00+05:30,465.0,84000.0,83995.48,Stop Loss,-8.850000000000023
2026-02-03,CALL,2026-02-03 13:04:00+05:30,463.0,84000.0,83996.35,2026-02-03 13:05:00+05:30,466.8,84000.0,83993.6,Stop Loss,-3.8000000000000114
2026-02-03,CALL,2026-02-03 13:14:00+05:30,433.6,84000.0,83930.93,2026-02-03 13:15:00+05:30,439.65,84000.0,83960.81,Stop Loss,-6.0499999999999545
2026-02-03,CALL,2026-02-03 13:16:00+05:30,442.75,84000.0,83960.27,2026-02-03 13:18:00+05:30,444.7,84000.0,83963.5,Stop Loss,-1.9499999999999886
2026-02-03,CALL,2026-02-03 13:19:00+05:30,444.65,84000.0,83970.29,2026-02-03 13:46:00+05:30,453.8,84000.0,84003.58,Stop Loss,-9.150000000000034
2026-02-03,CALL,2026-02-03 13:48:00+05:30,438.35,84000.0,83982.75,2026-02-03 13:53:00+05:30,441.2,84000.0,83990.66,Stop Loss,-2.849999999999966
2026-02-03,CALL,2026-02-03 13:54:00+05:30,441.4,84000.0,83987.44,2026-02-03 13:55:00+05:30,445.05,84000.0,84004.49,Stop Loss,-3.650000000000034
2026-02-03,CALL,2026-02-03 14:01:00+05:30,376.35,84000.0,83847.4,2026-02-03 14:02:00+05:30,380.0,84000.0,83871.47,Stop Loss,-3.6499999999999773
2026-02-03,CALL,2026-02-03 14:04:00+05:30,393.85,84000.0,83891.11,2026-02-03 14:06:00+05:30,397.5,84000.0,83899.39,Stop Loss,-3.6499999999999773
2026-02-03,CALL,2026-02-03 14:08:00+05:30,399.0,84000.0,83902.64,2026-02-03 14:09:00+05:30,406.0,84000.0,83926.12,Stop Loss,-7.0
2026-02-03,CALL,2026-02-03 14:11:00+05:30,398.55,84000.0,83894.59,2026-02-03 14:13:00+05:30,403.55,84000.0,83931.98,Stop Loss,-5.0
2026-02-03,CALL,2026-02-03 14:16:00+05:30,385.85,84000.0,83879.96,2026-02-03 14:21:00+05:30,390.6,84000.0,83858.17,Stop Loss,-4.75
2026-02-03,CALL,2026-02-03 14:23:00+05:30,398.0,84000.0,83880.43,2026-02-03 14:24:00+05:30,398.15,84000.0,83885.68,Stop Loss,-0.14999999999997726
2026-02-03,CALL,2026-02-03 14:26:00+05:30,389.85,84000.0,83871.6,2026-02-03 14:27:00+05:30,390.8,84000.0,83883.7,Stop Loss,-0.9499999999999886
2026-02-03,CALL,2026-02-03 14:28:00+05:30,389.0,84000.0,83881.52,2026-02-03 14:29:00+05:30,389.55,84000.0,83878.23,Stop Loss,-0.5500000000000114
2026-02-03,CALL,2026-02-03 14:30:00+05:30,410.6,84000.0,83914.68,2026-02-03 14:59:00+05:30,412.6,84000.0,83911.11,Stop Loss,-2.0
2026-02-03,CALL,2026-02-03 15:01:00+05:30,373.5,84000.0,83821.76,2026-02-03 15:29:00+05:30,341.25,84000.0,83703.39,EOD,32.25
