date,option_type,entry_time,entry_price,entry_strike,entry_spot,exit_time,exit_price,exit_strike,exit_spot,exit_reason,pnl
2026-01-01,PUT,2026-01-01 09:15:00+05:30,86.45,26200.0,26183.5,2026-01-01 09:16:00+05:30,87.15,26200.0,26194.3,Stop Loss,-0.7000000000000028
2026-01-01,CALL,2026-01-01 09:16:00+05:30,95.1,26200.0,26194.3,2026-01-01 15:29:00+05:30,61.0,26200.0,26140.25,EOD,34.099999999999994
2026-01-01,PUT,2026-01-01 09:17:00+05:30,87.3,26200.0,26189.55,2026-01-01 09:18:00+05:30,92.15,26200.0,26178.85,Stop Loss,-4.8500000000000085
2026-01-01,PUT,2026-01-01 09:20:00+05:30,96.7,26200.0,26163.95,2026-01-01 09:22:00+05:30,97.55,26200.0,26163.75,Stop Loss,-0.8499999999999943
2026-01-01,PUT,2026-01-01 09:24:00+05:30,99.95,26200.0,26161.1,2026-01-01 09:26:00+05:30,107.15,26200.0,26152.1,Stop Loss,-7.200000000000003
2026-01-01,PUT,2026-01-01 09:27:00+05:30,103.65,26200.0,26156.1,2026-01-01 10:12:00+05:30,104.2,26200.0,26149.45,Stop Loss,-0.5499999999999972
2026-01-01,PUT,2026-01-01 10:13:00+05:30,103.6,26200.0,26151.4,2026-01-01 10:16:00+05:30,107.15,26200.0,26141.4,Stop Loss,-3.5500000000000114
2026-01-01,PUT,2026-01-01 10:23:00+05:30,113.85,26200.0,26126.75,2026-01-01 15:29:00+05:30,94.85,26200.0,26140.25,EOD,19.0
2026-01-02,PUT,2026-01-02 09:15:00+05:30,49.85,26150.0,26171.45,2026-01-02 09:16:00+05:30,51.2,26150.0,26170.05,Stop Loss,-1.3500000000000014
2026-01-02,CALL,2026-01-02 09:16:00+05:30,101.65,26150.0,26170.05,2026-01-02 09:17:00+05:30,101.7,26150.0,26172.2,Stop Loss,-0.04999999999999716
2026-01-02,PUT,2026-01-02 09:17:00+05:30,51.05,26150.0,26172.2,2026-01-02 09:18:00+05:30,52.55,26150.0,26170.45,Stop Loss,-1.5
2026-01-02,CALL,2026-01-02 09:18:00+05:30,100.6,26150.0,26170.45,2026-01-02 09:19:00+05:30,102.45,26150.0,26181.65,Stop Loss,-1.8500000000000085
2026-01-02,PUT,2026-01-02 09:19:00+05:30,50.7,26150.0,26181.65,2026-01-02 15:29:00+05:30,16.25,26150.0,26335.7,EOD,34.45
2026-01-02,CALL,2026-01-02 09:21:00+05:30,102.95,26150.0,26184.0,2026-01-02 09:22:00+05:30,107.35,26150.0,26191.9,Stop Loss,-4.3999999999999915
2026-01-02,CALL,2026-01-02 09:24:00+05:30,108.45,26150.0,26192.45,2026-01-02 09:26:00+05:30,109.0,26150.0,26187.25,Stop Loss,-0.5499999999999972
2026-01-02,CALL,2026-01-02 09:30:00+05:30,117.6,26150.0,26201.9,2026-01-02 09:31:00+05:30,120.2,26150.0,26203.8,Stop Loss,-2.6000000000000085
2026-01-02,CALL,2026-01-02 09:33:00+05:30,124.55,26150.0,26201.55,2026-01-02 09:36:00+05:30,126.55,26150.0,26203.7,Stop Loss,-2.0
2026-01-02,CALL,2026-01-02 09:38:00+05:30,124.15,26150.0,26202.7,2026-01-02 09:39:00+05:30,127.95,26150.0,26211.65,Stop Loss,-3.799999999999997
2026-01-02,CALL,2026-01-02 09:40:00+05:30,127.8,26150.0,26214.7,2026-01-02 09:41:00+05:30,136.45,26150.0,26229.95,Stop Loss,-8.649999999999991
2026-01-02,CALL,2026-01-02 09:45:00+05:30,145.85,26150.0,26247.3,2026-01-02 09:46:00+05:30,147.1,26150.0,26249.55,Stop Loss,-1.25
2026-01-02,CALL,2026-01-02 09:49:00+05:30,152.9,26150.0,26253.8,2026-01-02 09:51:00+05:30,155.2,26150.0,26260.8,Stop Loss,-2.299999999999983
2026-01-02,CALL,2026-01-02 09:53:00+05:30,159.65,26150.0,26262.65,2026-01-02 09:54:00+05:30,165.8,26150.0,26268.0,Stop Loss,-6.150000000000006
2026-01-02,CALL,2026-01-02 09:55:00+05:30,162.55,26150.0,26263.2,2026-01-02 09:56:00+05:30,163.85,26150.0,26264.85,Stop Loss,-1.299999999999983
2026-01-02,CALL,2026-01-02 09:57:00+05:30,162.45,26150.0,26262.05,2026-01-02 10:15:00+05:30,162.75,26150.0,26262.2,Stop Loss,-0.30000000000001137
2026-01-02,CALL,2026-01-02 10:16:00+05:30,161.55,26150.0,26262.85,2026-01-02 10:47:00+05:30,163.0,26150.0,26262.15,Stop Loss,-1.4499999999999886
2026-01-02,CALL,2026-01-02 10:48:00+05:30,161.5,26150.0,26259.7,2026-01-02 10:59:00+05:30,162.75,26150.0,26263.35,Stop Loss,-1.25
2026-01-02,CALL,2026-01-02 11:00:00+05:30,160.9,26150.0,26261.35,2026-01-02 11:18:00+05:30,163.0,26150.0,26264.95,Stop Loss,-2.0999999999999943
2026-01-02,CALL,2026-01-02 11:19:00+05:30,162.35,26150.0,26261.55,2026-01-02 11:20:00+05:30,162.75,26150.0,26262.85,Stop Loss,-0.4000000000000057
2026-01-02,CALL,2026-01-02 11:22:00+05:30,162.25,26150.0,26260.75,2026-01-02 11:23:00+05:30,164.5,26150.0,26265.75,Stop Loss,-2.25
2026-01-02,CALL,2026-01-02 11:26:00+05:30,165.45,26150.0,26266.2,2026-01-02 11:27:00+05:30,166.35,26150.0,26268.15,Stop Loss,-0.9000000000000057
2026-01-02,CALL,2026-01-02 11:32:00+05:30,173.0,26150.0,26276.9,2026-01-02 11:33:00+05:30,174.15,26150.0,26277.8,Stop Loss,-1.1500000000000057
2026-01-02,CALL,2026-01-02 11:35:00+05:30,176.6,26150.0,26281.7,2026-01-02 11:36:00+05:30,176.75,26150.0,26281.9,Stop Loss,-0.15000000000000568
2026-01-02,CALL,2026-01-02 11:38:00+05:30,174.95,26150.0,26282.55,2026-01-02 11:39:00+05:30,177.45,26150.0,26284.0,Stop Loss,-2.5
2026-01-02,CALL,2026-01-02 11:40:00+05:30,175.75,26150.0,26281.4,2026-01-02 11:41:00+05:30,176.65,26150.0,26282.65,Stop Loss,-0.9000000000000057
2026-01-02,CALL,2026-01-02 11:44:00+05:30,178.7,26150.0,26285.5,2026-01-02 11:48:00+05:30,178.8,26150.0,26288.15,Stop Loss,-0.10000000000002274
2026-01-02,CALL,2026-01-02 11:50:00+05:30,179.0,26150.0,26287.9,2026-01-02 11:51:00+05:30,180.1,26150.0,26288.7,Stop Loss,-1.0999999999999943
2026-01-02,CALL,2026-01-02 11:54:00+05:30,182.2,26150.0,26294.6,2026-01-02 12:32:00+05:30,183.1,26150.0,26303.6,Stop Loss,-0.9000000000000057
2026-01-02,CALL,2026-01-02 12:36:00+05:30,189.95,26150.0,26307.55,2026-01-02 15:09:00+05:30,191.75,26150.0,26322.6,Stop Loss,-1.8000000000000114
2026-01-02,CALL,2026-01-02 15:12:00+05:30,195.3,26150.0,26328.8,2026-01-02 15:23:00+05:30,197.95,26150.0,26332.4,Stop Loss,-2.6499999999999773
2026-01-02,CALL,2026-01-02 15:24:00+05:30,196.8,26150.0,26333.45,2026-01-02 15:25:00+05:30,197.5,26150.0,26335.6,Stop Loss,-0.6999999999999886
2026-01-05,CALL,2026-01-05 09:15:00+05:30,57.95,26350.0,26327.6,2026-01-05 09:18:00+05:30,60.5,26350.0,26339.95,Stop Loss,-2.549999999999997
2026-01-05,PUT,2026-01-05 09:17:00+05:30,67.3,26350.0,26329.2,2026-01-05 09:20:00+05:30,77.45,26350.0,26321.15,Stop Loss,-10.150000000000006
2026-01-05,CALL,2026-01-05 09:20:00+05:30,48.65,26350.0,26321.15,2026-01-05 10:16:00+05:30,58.05,26350.0,26343.9,Stop Loss,-9.399999999999999
2026-01-05,PUT,2026-01-05 09:21:00+05:30,72.7,26350.0,26329.25,2026-01-05 09:22:00+05:30,74.15,26350.0,26325.65,Stop Loss,-1.4500000000000028
2026-01-05,PUT,2026-01-05 09:25:00+05:30,80.4,26350.0,26312.1,2026-01-05 09:27:00+05:30,87.25,26350.0,26299.65,Stop Loss,-6.849999999999994
2026-01-05,PUT,2026-01-05 09:29:00+05:30,87.1,26350.0,26301.2,2026-01-05 09:30:00+05:30,89.6,26350.0,26295.7,Stop Loss,-2.5
2026-01-05,PUT,2026-01-05 09:37:00+05:30,103.05,26350.0,26272.3,2026-01-05 13:49:00+05:30,104.1,26350.0,26269.95,Stop Loss,-1.0499999999999972
2026-01-05,CALL,2026-01-05 10:19:00+05:30,65.6,26350.0,26357.3,2026-01-05 10:21:00+05:30,71.3,26350.0,26361.85,Stop Loss,-5.700000000000003
2026-01-05,CALL,2026-01-05 10:22:00+05:30,68.8,26350.0,26356.5,2026-01-05 10:23:00+05:30,70.4,26350.0,26360.25,Stop Loss,-1.6000000000000085
2026-01-05,CALL,2026-01-05 10:25:00+05:30,73.6,26350.0,26367.55,2026-01-05 10:27:00+05:30,74.9,26350.0,26371.05,Stop Loss,-1.3000000000000114
2026-01-05,CALL,2026-01-05 10:28:00+05:30,71.45,26350.0,26362.2,2026-01-05 15:29:00+05:30,9.35,26350.0,26244.65,EOD,62.1
2026-01-05,PUT,2026-01-05 13:51:00+05:30,110.05,26350.0,26263.15,2026-01-05 13:52:00+05:30,114.6,26350.0,26260.5,Stop Loss,-4.549999999999997
2026-01-05,PUT,2026-01-05 13:54:00+05:30,115.6,26350.0,26262.15,2026-01-05 13:55:00+05:30,116.5,26350.0,26261.9,Stop Loss,-0.9000000000000057
2026-01-05,PUT,2026-01-05 13:56:00+05:30,115.9,26350.0,26259.25,2026-01-05 13:57:00+05:30,117.35,26350.0,26259.45,Stop Loss,-1.4499999999999886
2026-01-05,PUT,2026-01-05 14:04:00+05:30,149.25,26350.0,26224.2,2026-01-05 14:05:00+05:30,161.85,26350.0,26211.35,Stop Loss,-12.599999999999994
2026-01-05,PUT,2026-01-05 14:06:00+05:30,147.7,26350.0,26226.4,2026-01-05 14:07:00+05:30,152.9,26350.0,26223.15,Stop Loss,-5.200000000000017
2026-01-05,PUT,2026-01-05 14:09:00+05:30,149.75,26350.0,26218.95,2026-01-05 14:10:00+05:30,149.8,26350.0,26224.3,Stop Loss,-0.05000000000001137
2026-01-05,PUT,2026-01-05 14:12:00+05:30,145.95,26350.0,26228.0,2026-01-05 14:14:00+05:30,150.25,26350.0,26226.8,Stop Loss,-4.300000000000011
2026-01-05,PUT,2026-01-05 14:15:00+05:30,148.2,26350.0,26228.6,2026-01-05 14:17:00+05:30,150.6,26350.0,26227.55,Stop Loss,-2.4000000000000057
2026-01-05,PUT,2026-01-05 14:18:00+05:30,149.5,26350.0,26227.9,2026-01-05 14:19:00+05:30,151.45,26350.0,26226.0,Stop Loss,-1.9499999999999886
2026-01-05,PUT,2026-01-05 14:22:00+05:30,151.4,26350.0,26217.45,2026-01-05 15:29:00+05:30,133.45,26350.0,26244.65,EOD,17.950000000000017
2026-01-06,PUT,2026-01-06 09:15:00+05:30,38.5,26250.0,26235.75,2026-01-06 09:16:00+05:30,50.15,26250.0,26214.7,Stop Loss,-11.649999999999999
2026-01-06,CALL,2026-01-06 09:16:00+05:30,33.9,26250.0,26214.7,2026-01-06 09:55:00+05:30,34.6,26250.0,26241.3,Stop Loss,-0.7000000000000028
2026-01-06,PUT,2026-01-06 09:20:00+05:30,67.9,26250.0,26198.05,2026-01-06 09:21:00+05:30,71.85,26250.0,26191.35,Stop Loss,-3.9499999999999886
2026-01-06,PUT,2026-01-06 09:22:00+05:30,68.8,26250.0,26195.55,2026-01-06 09:23:00+05:30,69.15,26250.0,26197.3,Stop Loss,-0.3500000000000085
2026-01-06,PUT,2026-01-06 09:30:00+05:30,86.1,26250.0,26178.5,2026-01-06 09:31:00+05:30,86.7,26250.0,26180.35,Stop Loss,-0.6000000000000085
2026-01-06,PUT,2026-01-06 09:32:00+05:30,77.2,26250.0,26190.75,2026-01-06 11:16:00+05:30,88.15,26250.0,26167.7,Stop Loss,-10.950000000000003
2026-01-06,CALL,2026-01-06 09:57:00+05:30,36.75,26250.0,26243.15,2026-01-06 09:58:00+05:30,40.95,26250.0,26251.55,Stop Loss,-4.200000000000003
2026-01-06,CALL,2026-01-06 10:01:00+05:30,43.75,26250.0,26260.15,2026-01-06 10:02:00+05:30,48.2,26250.0,26267.7,Stop Loss,-4.450000000000003
2026-01-06,CALL,2026-01-06 10:03:00+05:30,45.3,26250.0,26264.35,2026-01-06 15:29:00+05:30,0.05,26250.0,26174.65,EOD,45.25
2026-01-06,PUT,2026-01-06 11:18:00+05:30,94.9,26250.0,26156.4,2026-01-06 11:19:00+05:30,96.0,26250.0,26156.6,Stop Loss,-1.0999999999999943
2026-01-06,PUT,2026-01-06 11:22:00+05:30,105.25,26250.0,26145.1,2026-01-06 14:09:00+05:30,111.45,26250.0,26139.15,Stop Loss,-6.200000000000003
2026-01-06,PUT,2026-01-06 14:11:00+05:30,111.0,26250.0,26136.85,2026-01-06 14:12:00+05:30,113.3,26250.0,26133.45,Stop Loss,-2.299999999999997
2026-01-06,PUT,2026-01-06 14:14:00+05:30,110.9,26250.0,26133.15,2026-01-06 14:15:00+05:30,112.5,26250.0,26133.95,Stop Loss,-1.5999999999999943
2026-01-06,PUT,2026-01-06 14:16:00+05:30,110.1,26250.0,26134.1,2026-01-06 14:18:00+05:30,113.7,26250.0,26131.85,Stop Loss,-3.6000000000000085
2026-01-06,PUT,2026-01-06 14:19:00+05:30,112.0,26250.0,26134.75,2026-01-06 14:20:00+05:30,116.9,26250.0,26131.65,Stop Loss,-4.900000000000006
2026-01-06,PUT,2026-01-06 14:22:00+05:30,115.05,26250.0,26127.65,2026-01-06 15:29:00+05:30,71.05,26250.0,26174.65,EOD,44.0
2026-01-07,CALL,2026-01-07 09:15:00+05:30,123.05,26100.0,26111.65,2026-01-07 09:16:00+05:30,133.8,26100.0,26133.85,Stop Loss,-10.750000000000014
2026-01-07,PUT,2026-01-07 09:16:00+05:30,81.5,26100.0,26133.85,2026-01-07 09:17:00+05:30,84.3,26100.0,26128.4,Stop Loss,-2.799999999999997
2026-01-07,CALL,2026-01-07 09:17:00+05:30,131.45,26100.0,26128.4,2026-01-07 09:18:00+05:30,132.9,26100.0,26136.85,Stop Loss,-1.450000000000017
2026-01-07,PUT,2026-01-07 09:18:00+05:30,83.3,26100.0,26136.85,2026-01-07 09:19:00+05:30,84.6,26100.0,26125.65,Stop Loss,-1.2999999999999972
2026-01-07,CALL,2026-01-07 09:19:00+05:30,128.8,26100.0,26125.65,2026-01-07 09:20:00+05:30,139.15,26100.0,26143.15,Stop Loss,-10.349999999999994
2026-01-07,PUT,2026-01-07 09:20:00+05:30,78.3,26100.0,26143.15,2026-01-07 09:28:00+05:30,83.9,26100.0,26116.8,Stop Loss,-5.6000000000000085
2026-01-07,CALL,2026-01-07 09:22:00+05:30,144.6,26100.0,26146.3,2026-01-07 09:23:00+05:30,152.55,26100.0,26156.95,Stop Loss,-7.950000000000017
2026-01-07,CALL,2026-01-07 09:24:00+05:30,151.85,26100.0,26154.6,2026-01-07 10:08:00+05:30,154.7,26100.0,26157.25,Stop Loss,-2.8499999999999943
2026-01-07,PUT,2026-01-07 09:29:00+05:30,83.6,26100.0,26120.35,2026-01-07 09:31:00+05:30,84.35,26100.0,26122.95,Stop Loss,-0.75
2026-01-07,PUT,2026-01-07 09:32:00+05:30,76.8,26100.0,26137.35,2026-01-07 09:43:00+05:30,88.55,26100.0,26113.9,Stop Loss,-11.75
2026-01-07,PUT,2026-01-07 09:45:00+05:30,85.75,26100.0,26113.1,2026-01-07 09:46:00+05:30,90.9,26100.0,26105.45,Stop Loss,-5.150000000000006
2026-01-07,PUT,2026-01-07 09:47:00+05:30,88.5,26100.0,26108.3,2026-01-07 09:52:00+05:30,91.45,26100.0,26099.55,Stop Loss,-2.950000000000003
2026-01-07,PUT,2026-01-07 09:53:00+05:30,87.3,26100.0,26106.65,2026-01-07 09:54:00+05:30,88.7,26100.0,26108.05,Stop Loss,-1.4000000000000057
2026-01-07,PUT,2026-01-07 09:55:00+05:30,87.75,26100.0,26108.9,2026-01-07 12:43:00+05:30,89.35,26100.0,26083.1,Stop Loss,-1.5999999999999943
2026-01-07,CALL,2026-01-07 10:10:00+05:30,157.75,26100.0,26159.15,2026-01-07 10:12:00+05:30,159.45,26100.0,26162.45,Stop Loss,-1.6999999999999886
2026-01-07,CALL,2026-01-07 10:17:00+05:30,164.6,26100.0,26174.0,2026-01-07 10:20:00+05:30,164.7,26100.0,26168.95,Stop Loss,-0.09999999999999432
2026-01-07,CALL,2026-01-07 10:21:00+05:30,160.2,26100.0,26161.45,2026-01-07 10:56:00+05:30,165.35,26100.0,26174.0,Stop Loss,-5.150000000000006
2026-01-07,CALL,2026-01-07 10:57:00+05:30,162.2,26100.0,26169.45,2026-01-07 11:03:00+05:30,166.3,26100.0,26173.35,Stop Loss,-4.100000000000023
2026-01-07,CALL,2026-01-07 11:06:00+05:30,167.65,26100.0,26176.5,2026-01-07 11:08:00+05:30,170.25,26100.0,26177.95,Stop Loss,-2.5999999999999943
2026-01-07,CALL,2026-01-07 11:09:00+05:30,165.85,26100.0,26171.65,2026-01-07 15:29:00+05:30,130.85,26100.0,26142.9,EOD,35.0
2026-01-07,PUT,2026-01-07 12:45:00+05:30,88.35,26100.0,26084.3,2026-01-07 12:46:00+05:30,91.15,26100.0,26077.75,Stop Loss,-2.8000000000000114
2026-01-07,PUT,2026-01-07 12:47:00+05:30,88.65,26100.0,26086.85,2026-01-07 12:48:00+05:30,91.75,26100.0,26082.45,Stop Loss,-3.0999999999999943
2026-01-07,PUT,2026-01-07 12:49:00+05:30,91.25,26100.0,26081.2,2026-01-07 13:30:00+05:30,91.55,26100.0,26070.0,Stop Loss,-0.29999999999999716
2026-01-07,PUT,2026-01-07 13:31:00+05:30,88.9,26100.0,26076.9,2026-01-07 15:29:00+05:30,69.0,26100.0,26142.9,EOD,19.900000000000006
2026-01-08,CALL,2026-01-08 09:15:00+05:30,95.75,26100.0,26101.75,2026-01-08 09:16:00+05:30,101.45,26100.0,26115.1,Stop Loss,-5.700000000000003
2026-01-08,PUT,2026-01-08 09:16:00+05:30,79.85,26100.0,26115.1,2026-01-08 09:21:00+05:30,80.3,26100.0,26104.8,Stop Loss,-0.45000000000000284
2026-01-08,CALL,2026-01-08 09:20:00+05:30,102.85,26100.0,26108.75,2026-01-08 15:29:00+05:30,27.0,26100.0,25868.9,EOD,75.85
2026-01-08,PUT,2026-01-08 09:23:00+05:30,81.7,26100.0,26095.85,2026-01-08 09:24:00+05:30,82.3,26100.0,26096.75,Stop Loss,-0.5999999999999943
2026-01-08,PUT,2026-01-08 09:27:00+05:30,88.4,26100.0,26077.85,2026-01-08 09:28:00+05:30,90.75,26100.0,26075.05,Stop Loss,-2.3499999999999943
2026-01-08,PUT,2026-01-08 09:33:00+05:30,103.8,26100.0,26052.45,2026-01-08 10:19:00+05:30,110.1,26100.0,26038.35,Stop Loss,-6.299999999999997
2026-01-08,PUT,2026-01-08 10:22:00+05:30,113.4,26100.0,26028.55,2026-01-08 10:33:00+05:30,114.85,26100.0,26029.2,Stop Loss,-1.4499999999999886
2026-01-08,PUT,2026-01-08 10:34:00+05:30,107.05,26100.0,26037.8,2026-01-08 10:38:00+05:30,114.85,26100.0,26029.55,Stop Loss,-7.799999999999997
2026-01-08,PUT,2026-01-08 10:39:00+05:30,113.1,26100.0,26030.85,2026-01-08 10:40:00+05:30,117.0,26100.0,26026.35,Stop Loss,-3.9000000000000057
2026-01-08,PUT,2026-01-08 10:41:00+05:30,113.9,26100.0,26029.05,2026-01-08 10:42:00+05:30,115.5,26100.0,26028.85,Stop Loss,-1.5999999999999943
2026-01-08,PUT,2026-01-08 10:43:00+05:30,112.25,26100.0,26032.55,2026-01-08 10:49:00+05:30,115.35,26100.0,26027.1,Stop Loss,-3.0999999999999943
2026-01-08,PUT,2026-01-08 10:50:00+05:30,113.75,26100.0,26029.9,2026-01-08 10:51:00+05:30,115.0,26100.0,26027.1,Stop Loss,-1.25
2026-01-08,PUT,2026-01-08 10:53:00+05:30,119.05,26100.0,26020.75,2026-01-08 10:55:00+05:30,120.3,26100.0,26019.1,Stop Loss,-1.25
2026-01-08,PUT,2026-01-08 10:56:00+05:30,117.45,26100.0,26023.35,2026-01-08 10:57:00+05:30,121.4,26100.0,26019.0,Stop Loss,-3.950000000000003
2026-01-08,PUT,2026-01-08 10:58:00+05:30,121.4,26100.0,26019.1,2026-01-08 10:59:00+05:30,122.95,26100.0,26016.9,Stop Loss,-1.5499999999999972
2026-01-08,PUT,2026-01-08 11:03:00+05:30,127.4,26100.0,26012.6,2026-01-08 11:05:00+05:30,127.55,26100.0,26011.1,Stop Loss,-0.14999999999999147
2026-01-08,PUT,2026-01-08 11:06:00+05:30,124.45,26100.0,26013.55,2026-01-08 11:10:00+05:30,127.65,26100.0,26008.95,Stop Loss,-3.200000000000003
2026-01-08,PUT,2026-01-08 11:11:00+05:30,127.0,26100.0,26008.8,2026-01-08 11:12:00+05:30,128.6,26100.0,26006.1,Stop Loss,-1.5999999999999943
2026-01-08,PUT,2026-01-08 11:13:00+05:30,128.5,26100.0,26004.85,2026-01-08 11:14:00+05:30,132.45,26100.0,26003.8,Stop Loss,-3.9499999999999886
2026-01-08,PUT,2026-01-08 11:15:00+05:30,131.35,26100.0,26005.55,2026-01-08 11:18:00+05:30,137.25,26100.0,25997.15,Stop Loss,-5.900000000000006
2026-01-08,PUT,2026-01-08 11:19:00+05:30,137.6,26100.0,25999.0,2026-01-08 11:20:00+05:30,150.9,26100.0,25983.05,Stop Loss,-13.300000000000011
2026-01-08,PUT,2026-01-08 11:22:00+05:30,153.2,26100.0,25976.75,2026-01-08 11:23:00+05:30,157.1,26100.0,25973.0,Stop Loss,-3.9000000000000057
2026-01-08,PUT,2026-01-08 11:25:00+05:30,158.55,26100.0,25968.55,2026-01-08 11:31:00+05:30,160.5,26100.0,25967.2,Stop Loss,-1.9499999999999886
2026-01-08,PUT,2026-01-08 11:32:00+05:30,155.4,26100.0,25971.5,2026-01-08 11:33:00+05:30,159.25,26100.0,25970.35,Stop Loss,-3.8499999999999943
2026-01-08,PUT,2026-01-08 11:34:00+05:30,159.15,26100.0,25968.45,2026-01-08 11:48:00+05:30,162.25,26100.0,25961.65,Stop Loss,-3.0999999999999943
2026-01-08,PUT,2026-01-08 11:51:00+05:30,160.15,26100.0,25960.9,2026-01-08 11:52:00+05:30,160.45,26100.0,25963.6,Stop Loss,-0.29999999999998295
2026-01-08,PUT,2026-01-08 11:53:00+05:30,159.15,26100.0,25964.65,2026-01-08 11:54:00+05:30,161.95,26100.0,25960.6,Stop Loss,-2.799999999999983
2026-01-08,PUT,2026-01-08 11:55:00+05:30,161.0,26100.0,25958.15,2026-01-08 11:56:00+05:30,162.0,26100.0,25956.4,Stop Loss,-1.0
2026-01-08,PUT,2026-01-08 11:59:00+05:30,178.4,26100.0,25938.3,2026-01-08 12:00:00+05:30,179.5,26100.0,25936.15,Stop Loss,-1.0999999999999943
2026-01-08,PUT,2026-01-08 12:01:00+05:30,178.15,26100.0,25938.4,2026-01-08 12:02:00+05:30,193.9,26100.0,25925.05,Stop Loss,-15.75
2026-01-08,PUT,2026-01-08 12:06:00+05:30,211.4,26100.0,25904.1,2026-01-08 13:29:00+05:30,212.7,26100.0,25893.5,Stop Loss,-1.299999999999983
2026-01-08,PUT,2026-01-08 13:31:00+05:30,211.2,26100.0,25894.5,2026-01-08 13:32:00+05:30,212.55,26100.0,25892.2,Stop Loss,-1.3500000000000227
2026-01-08,PUT,2026-01-08 13:33:00+05:30,206.3,26100.0,25898.0,2026-01-08 15:04:00+05:30,220.3,26100.0,25868.45,Stop Loss,-14.0
2026-01-08,PUT,2026-01-08 15:07:00+05:30,217.75,26100.0,25872.0,2026-01-08 15:09:00+05:30,218.5,26100.0,25871.85,Stop Loss,-0.75
2026-01-08,PUT,2026-01-08 15:10:00+05:30,216.3,26100.0,25879.7,2026-01-08 15:17:00+05:30,218.3,26100.0,25869.3,Stop Loss,-2.0
2026-01-08,PUT,2026-01-08 15:18:00+05:30,216.35,26100.0,25871.75,2026-01-08 15:24:00+05:30,219.65,26100.0,25875.8,Stop Loss,-3.3000000000000114
2026-01-08,PUT,2026-01-08 15:25:00+05:30,216.85,26100.0,25871.85,2026-01-08 15:26:00+05:30,220.0,26100.0,25870.6,Stop Loss,-3.1500000000000057
2026-01-09,PUT,2026-01-09 09:15:00+05:30,76.9,25900.0,25898.05,2026-01-09 09:21:00+05:30,85.15,25900.0,25887.75,Stop Loss,-8.25
2026-01-09,CALL,2026-01-09 09:18:00+05:30,115.0,25900.0,25928.15,2026-01-09 09:19:00+05:30,120.8,25900.0,25938.8,Stop Loss,-5.799999999999997
2026-01-09,CALL,2026-01-09 09:20:00+05:30,114.1,25900.0,25915.35,2026-01-09 15:29:00+05:30,41.25,25900.0,25703.7,EOD,72.85
2026-01-09,PUT,2026-01-09 09:23:00+05:30,85.6,25900.0,25872.45,2026-01-09 09:24:00+05:30,89.7,25900.0,25862.35,Stop Loss,-4.1000000000000085
2026-01-09,PUT,2026-01-09 09:25:00+05:30,88.3,25900.0,25859.05,2026-01-09 09:27:00+05:30,91.4,25900.0,25853.75,Stop Loss,-3.1000000000000085
2026-01-09,PUT,2026-01-09 09:29:00+05:30,97.7,25900.0,25840.9,2026-01-09 09:33:00+05:30,113.6,25900.0,25821.55,Stop Loss,-15.899999999999991
2026-01-09,PUT,2026-01-09 09:34:00+05:30,102.4,25900.0,25837.15,2026-01-09 09:35:00+05:30,104.1,25900.0,25832.35,Stop Loss,-1.6999999999999886
2026-01-09,PUT,2026-01-09 09:36:00+05:30,102.5,25900.0,25835.6,2026-01-09 09:37:00+05:30,105.15,25900.0,25832.75,Stop Loss,-2.6500000000000057
2026-01-09,PUT,2026-01-09 09:39:00+05:30,103.0,25900.0,25830.1,2026-01-09 09:40:00+05:30,108.15,25900.0,25821.1,Stop Loss,-5.150000000000006
2026-01-09,PUT,2026-01-09 09:41:00+05:30,105.0,25900.0,25825.85,2026-01-09 09:42:00+05:30,105.55,25900.0,25827.15,Stop Loss,-0.5499999999999972
2026-01-09,PUT,2026-01-09 09:43:00+05:30,98.75,25900.0,25838.5,2026-01-09 10:57:00+05:30,117.45,25900.0,25812.6,Stop Loss,-18.700000000000003
2026-01-09,PUT,2026-01-09 10:58:00+05:30,116.6,25900.0,25808.8,2026-01-09 11:01:00+05:30,116.9,25900.0,25812.65,Stop Loss,-0.30000000000001137
