date,option_type,entry_time,entry_price,entry_strike,entry_spot,exit_time,exit_price,exit_strike,exit_spot,exit_reason,pnl
2026-01-01,CALL,2026-01-01 09:15:00+05:30,97.0,26200.0,26183.5,2026-01-01 09:26:00+05:30,73.05,26200.0,26152.1,Stop Loss,-23.950000000000003
2026-01-01,PUT,2026-01-01 09:16:00+05:30,87.15,26200.0,26194.3,2026-01-01 09:49:00+05:30,85.75,26200.0,26188.55,Stop Loss,-1.4000000000000057
2026-01-01,CALL,2026-01-01 09:27:00+05:30,76.35,26200.0,26156.1,2026-01-01 10:11:00+05:30,72.25,26200.0,26155.4,Stop Loss,-4.099999999999994
2026-01-01,PUT,2026-01-01 09:51:00+05:30,84.3,26200.0,26193.95,2026-01-01 09:52:00+05:30,82.4,26200.0,26194.75,Stop Loss,-1.8999999999999915
2026-01-01,PUT,2026-01-01 09:53:00+05:30,85.45,26200.0,26187.75,2026-01-01 10:16:00+05:30,107.15,26200.0,26141.4,Target Hit,21.700000000000003
2026-01-01,CALL,2026-01-01 10:13:00+05:30,70.35,26200.0,26151.4,2026-01-01 10:16:00+05:30,67.75,26200.0,26141.4,Stop Loss,-2.5999999999999943
2026-01-01,CALL,2026-01-01 10:23:00+05:30,63.3,26200.0,26126.75,2026-01-01 10:34:00+05:30,75.75,26200.0,26166.0,Target Hit,12.450000000000003
2026-01-01,CALL,2026-01-01 12:09:00+05:30,61.8,26200.0,26130.0,2026-01-01 15:29:00+05:30,61.0,26200.0,26140.25,EOD,-0.7999999999999972
2026-01-01,PUT,2026-01-01 14:21:00+05:30,84.85,26200.0,26171.05,2026-01-01 15:29:00+05:30,94.85,26200.0,26140.25,EOD,10.0
2026-01-02,CALL,2026-01-02 09:15:00+05:30,104.65,26150.0,26171.45,2026-01-02 09:52:00+05:30,160.1,26150.0,26267.2,Target Hit,55.44999999999999
2026-01-02,PUT,2026-01-02 09:16:00+05:30,51.2,26150.0,26170.05,2026-01-02 09:20:00+05:30,48.25,26150.0,26184.6,Stop Loss,-2.950000000000003
2026-01-02,PUT,2026-01-02 09:21:00+05:30,50.0,26150.0,26184.0,2026-01-02 09:22:00+05:30,46.6,26150.0,26191.9,Stop Loss,-3.3999999999999986
2026-01-02,PUT,2026-01-02 09:24:00+05:30,45.6,26150.0,26192.45,2026-01-02 09:27:00+05:30,45.0,26150.0,26199.95,Stop Loss,-0.6000000000000014
2026-01-02,PUT,2026-01-02 09:30:00+05:30,42.9,26150.0,26201.9,2026-01-02 09:32:00+05:30,39.5,26150.0,26214.1,Stop Loss,-3.3999999999999986
2026-01-02,PUT,2026-01-02 09:33:00+05:30,40.45,26150.0,26201.55,2026-01-02 09:41:00+05:30,35.9,26150.0,26229.95,Stop Loss,-4.550000000000004
2026-01-02,PUT,2026-01-02 09:45:00+05:30,34.0,26150.0,26247.3,2026-01-02 09:48:00+05:30,33.0,26150.0,26256.25,Stop Loss,-1.0
2026-01-02,PUT,2026-01-02 09:53:00+05:30,31.35,26150.0,26262.65,2026-01-02 10:14:00+05:30,30.4,26150.0,26254.65,Stop Loss,-0.9500000000000028
2026-01-02,PUT,2026-01-02 10:16:00+05:30,30.4,26150.0,26262.85,2026-01-02 10:47:00+05:30,29.35,26150.0,26262.15,Stop Loss,-1.0499999999999972
2026-01-02,PUT,2026-01-02 10:49:00+05:30,29.55,26150.0,26261.35,2026-01-02 10:51:00+05:30,29.1,26150.0,26263.95,Stop Loss,-0.4499999999999993
